seedling_id,sample_id,leaf_id,leaf_area_cm2,leaf_perimeter_cm,area_notes
2527,C86-1,2,4.483,22.534,
2527,C86-1,3,8.505,34.241,No sample present in image
2528,C86-2,1,0.729,19.072,
2528,C86-2,2,2.245,43.138,
2528,C86-2,3,2.834,41.477,
2534,C87-2,1,2.157,29.173,
2534,C87-2,2,1.017,26.566,
2534,C87-2,3,3.325,35.897,
2534,C87-2,4,0.592,9.12,
2534,C87-2,5,0.332,7.545,
2534,C87-2,6,4.01,65.99,
2537,C87-5,1,6.083,26.183,
2537,C87-5,2,6.469,30.38,
2635,C97-7,1,1.325,31.696,
2635,C97-7,2,0.941,25.255,
2635,C97-7,3,2.2,36.422,
2632,C97-4,1,4.664,25.116,
2632,C97-4,2,3.911,22.12,
2648,C98-8,1,7.514,37.207,
2648,C98-8,2,8.081,43.863,
2650,C98-10,1,1.343,27.605,
2650,C98-10,2,1.323,29.621,
2658,C99-6,1,2.916,22.001,
2658,C99-6,2,7.846,38.25,
2658,C99-6,3,7.748,29.869,
2664,C99-12,1,1.314,29.051,
2664,C99-12,2,2.578,38.046,
2664,C99-12,3,3.701,53.625,
2904,D28-6,1,5.271,34.816,
2904,D28-6,2,5.777,29.353,
2904,D28-6,3,2.177,14.613,
2710,D4-1,1,5.123,31.047,
2710,D4-1,2,4.644,28.206,
2711,D4-2,1,0.634,13.174,
2711,D4-2,2,1.309,24.351,
2711,D4-2,3,1.921,32.11,
2712,D4-3,1,1.702,25.515,
2712,D4-3,2,1.616,25.238,
2713,D4-4,1,1.734,32.382,
2713,D4-4,2,2.081,35.032,
2713,D4-4,3,1.446,27.135,
2713,D4-4,4,1.459,29.128,
2713,D4-4,5,1.859,37.703,
2713,D4-4,6,1.418,26.742,
2714,D4-5,1,0.843,22.539,
2714,D4-5,2,1.038,32.377,
2714,D4-5,3,0.949,26.896,
2715,D4-6,1,0.504,21.512,
2715,D4-6,2,0.807,25.104,
2715,D4-6,3,0.583,24.028,
2715,D4-6,4,0.673,21.397,
2716,D5-1,1,0.604,18.605,
2716,D5-1,2,0.631,31.886,
2716,D5-1,3,2.222,40.432,
2717,D5-2,1,1.33,27.943,
2717,D5-2,2,0.965,19.352,
2717,D5-2,3,1.593,25.614,
2717,D5-2,4,1.605,29.591,
2718,D5-3,1,1.99,62.241,
2718,D5-3,2,1.784,39.841,
2718,D5-3,3,2.9,42.762,
2718,D5-3,4,1.709,45.527,
2719,D5-4,1,2.187,33.743,
2719,D5-4,2,3.281,37.626,
2719,D5-4,3,1.766,28.973,
2719,D5-4,4,3.068,34.895,
2720,D5-5,1,3.522,24.08,
2720,D5-5,2,4.539,27.347,
2720,D5-5,3,2.352,19.427,
2721,D5-6,1,9.456,38.556,
2721,D5-6,2,5.89,28.656,
2721,D5-6,3,5.584,27.526,
2726,D6-5,1,2.429,27.032,
2726,D6-5,2,6.134,45.35,
2726,D6-5,3,8.529,51.552,
2759,D10-5,1,2.435,20.238,
2759,D10-5,2,2.394,18.77,
2778,D11-12,1,5.126,24.842,
2778,D11-12,2,6.404,34.217,
2778,D11-12,3,7.391,37.908,
2779,D12-1,1,6.262,33.349,
2779,D12-1,2,6.079,38.28,
2800,D16-1,1,2.262,12.073,
2800,D16-1,2,2.724,12.909,
2800,D16-1,3,3.182,14.101,
2505,C83-9,1,3.005,52.657,
2505,C83-9,2,1.575,43.835,
2505,C83-9,3,2.001,38.756,
2505,C83-9,4,0.853,38.42,
2809,D17-4,1,5.259,24.265,
2809,D17-4,2,3.812,15.536,
2809,D17-4,3,3.621,13.291,
2814,D18-3,2,9.035,28.906,
2814,D18-3,1&2,30.102,95.138,
2872,D24-4,1,10.987,44.048,
2872,D24-4,2,7.238,30.415,
2845,D22-1,1,4.789,41.525,
2845,D22-1,2,2.278,17.216,
2845,D22-1,3,1.282,9.078,
2846,D22-2,1,1.801,11.415,
2846,D22-2,2,2.734,19.2,
2847,D22-3,1,6.011,35.623,
2847,D22-3,2,3.11,23.696,
2847,D22-3,3,1.95,10.09,
2848,D22-4,1,1.143,8.639,
2848,D22-4,2,1.221,11.952,
2850,D22-6,1,1.209,10.675,
2851,D22-7,1,0.674,6.128,
2851,D22-7,2,1.525,11.22,
2852,D22-8,1,3.724,24.293,
2852,D22-8,2,1.166,8.902,
2852,D22-8,3,2.119,13.442,
2853,D22-9,1,2.337,14.75,
2853,D22-9,2,1.455,10.739,
2854,D22-10,1,2.279,13.727,
2854,D22-10,2,3.427,27.996,
2854,D22-10,3,3.353,19.127,
2855,D22-11,1,2.507,14.408,
2855,D22-11,2,1.773,28.125,
2855,D22-11,3,1.633,10.623,
2856,D22-12,1,3.036,20.709,
2856,D22-12,2,5.291,40.933,
2856,D22-12,3,1.819,12.32,
2860,D23-4,1,5.299,23.915,
2860,D23-4,2,4.995,21.842,
2860,D23-4,3,6.172,33.666,
2869,D24-1,1,6.166,34.489,
2869,D24-1,2,4.317,18.398,
2869,D24-1,2,0.804,8.91,
2869,D24-1,3,3.733,17.066,
2870,D24-2,1,3.195,17.352,
2870,D24-2,2,2.561,23.334,
2871,D24-3,1,3.131,16.461,
2871,D24-3,2,2.439,13.798,
2871,D24-3,3,1.337,16.551,
2871,D24-3,3,0.562,9.78,
2873,D24-5,1,7.583,30.271,
2873,D24-5,2,4.866,20.577,
2873,D24-5,3,4.645,36.901,
2874,D24-6,1,2.702,15.703,
2874,D24-6,2,2.196,14.475,
2875,D24-7,1,2.917,15.093,
2875,D24-7,2,2.619,20.898,
2875,D24-7,2,0.274,5.511,
2875,D24-7,2,0.455,4.43,
2876,D24-8,1,3.116,15.354,
2876,D24-8,2,3.106,30.492,
2876,D24-8,2,0.39,9.447,
2877,D24-9,1,1.897,10.057,
2877,D24-9,2,1.261,10.287,
2877,D24-9,2,0.667,11.867,
2878,D24-10,1,0.929,9.253,
2878,D24-10,1,2.152,22.399,
2878,D24-10,2,3.022,25.718,
2879,D24-11,1,2.903,13.043,
2879,D24-11,2,5.362,42.111,
2879,D24-11,3,6.513,47.637,
2884,D25-4,1,6.141,27.262,
2884,D25-4,2&3,6.641,24.766,
2885,D25-5,1,3.416,26.246,
2885,D25-5,2,3.037,20.515,
2892,D26-6,1,9.616,39.036,
2892,D26-6,2,5.794,22.439,
2892,D26-6,3,5.688,16.762,
2888,D26-2,1,6.015,36.577,
2888,D26-2,2,6.133,31.547,
2893,D27-1,1,2.905,25.037,
2893,D27-1,2,8.199,39.89,
2893,D27-1,3,7.812,39.139,
2894,D27-2,1,10.39,33.804,
2894,D27-2,2,15.094,48.63,
2896,D27-4,1,5.109,30.444,
2896,D27-4,2,4.684,23.203,
3078,D47-3,1,5.293,34.596,
3078,D47-3,2,4.398,20.682,
2897,D27-5,1,3.053,45.112,
2897,D27-5,2,2.407,38.146,
2897,D27-5,3,1.492,25.161,
2898,D27-6,1,14.37,46.219,
2898,D27-6,2,10.04,33.701,
2898,D27-6,3,11.398,39.963,
2899,D28-1,1,1.532,19.586,
2899,D28-1,2,2.651,28.549,
2899,D28-1,3,2.056,24.402,
2900,D28-2,1,1.248,9.597,
2900,D28-2,1,3.936,20.637,
2900,D28-2,2,0.875,9.544,
2901,D28-3,1,1.721,14.5,
2901,D28-3,2,1.218,8.766,
2901,D28-3,3,3.945,28.61,
2902,D28-4,1,0.524,15.834,
2902,D28-4,2,0.121,4.659,
2902,D28-4,3,0.523,18.591,
2903,D28-5,1,0.855,8.312,
2903,D28-5,2,2.116,13.246,
2905,D28-7,1,5.566,41.717,
2905,D28-7,2,2.48,20.884,
2905,D28-7,3,1.714,10.736,
2906,D28-8,1,0.439,12.631,
2906,D28-8,2,0.963,19.96,
2906,D28-8,3,3.106,47.57,
2907,D28-9,1,1.261,8.841,
2907,D28-9,2,2.417,14.116,
2907,D28-9,3,3.478,19.692,
2895,D27-3,1,2.221,37.809,
2895,D27-3,2,1.291,30.918,
2895,D27-3,3,0.9,25.654,
2895,D27-3,4,2.103,41.177,
2995,D37-7,1,2.374,13.264,
2995,D37-7,2,0.53,4.786,
2995,D37-7,3,2.069,10.58,
3000,D37-12,1,3.102,25.946,
3000,D37-12,2,3.008,22.751,
3002,D38-2,1,2.892,25.227,
3002,D38-2,2,2.421,20.976,
3010,D38-10,1,2.628,14.342,
3010,D38-10,2,4.135,24.693,
3010,D38-10,3,3.286,12.836,
3013,D39-1,1,1.132,20.705,
3013,D39-1,2,3.733,46.083,
3013,D39-1,3,2.795,35.177,
3013,D39-1,4,1.882,20.793,
3014,D39-2,1,6.561,25.523,
3014,D39-2,2,5.47,21.945,
3015,D39-3,1,0.191,10.622,
3015,D39-3,2,0.44,17.777,
3015,D39-3,3,0.621,18.14,
3015,D39-3,4,0.401,16.814,
3016,D39-4,1,0.36,9.914,
3016,D39-4,2,0.555,15.981,
3017,D39-5,1,3.838,20.185,
3017,D39-5,2,4.965,28.836,
3017,D39-5,3,6.415,38.5,
3018,D39-6,1,6.436,24.282,
3018,D39-6,2,8.292,31.398,
3018,D39-6,3,10.869,39.513,
3019,D39-7,1,8.975,33.863,
3019,D39-7,2,6.584,24.769,
3019,D39-7,3,13.708,50.154,
3020,D39-8,1,4.132,16.209,
3020,D39-8,2,13.195,51.307,
3020,D39-8,3,7.347,28.057,
3021,D39-9,1,2.83,14.946,
3021,D39-9,2,5.122,21.546,
3022,D39-10,1,5.438,31.048,
3022,D39-10,2,6.953,35.812,
3023,D39-11,1,1.329,23.773,
3023,D39-11,2,1.502,39.011,
3023,D39-11,3&4,2.163,63.845,
3024,D39-12,1,14.618,47.864,
3024,D39-12,2,13.055,41.316,
3024,D39-12,3,11.633,35.433,
3071,D46-2,1,2.757,18.413,
3071,D46-2,2,4.164,31.453,
3082,D48-1,1,1.428,11.67,
3082,D48-1,2,6.109,22.566,
3082,D48-1,3,2.956,18.351,
3118,D52-4,1,0.927,11.555,
3118,D52-4,2,1.433,16.285,
3134,D53-8,1,4.914,34.584,
3134,D53-8,2,3.115,15.835,
3152,D55-2,1,3.552,30.7,
3152,D55-2,2,3.464,29.805,
3152,D55-2,3,3.814,28.446,
3154,D55-4,1,1.608,14.868,
3154,D55-4,2,2.432,16.533,
3157,D56-1,1,3.863,22.618,
3157,D56-1,2,5.679,32.91,
3159,D56-3,1,1.951,29.784,
3159,D56-3,2,2.3,27.294,
3159,D56-3,3,2.195,29.431,
3165,D57-3,1,9.019,36.54,
3165,D57-3,2,2.935,19.371,
3165,D57-3,3,7.879,29.846,
3168,D57-6,1,5.261,30.103,
3168,D57-6,2,7.727,36.015,
3168,D57-6,3,8.166,38.45,
3250,D66-1,1,1.727,35.43,
3250,D66-1,2,0.79,15.744,
3250,D66-1,3,1.229,28.357,
3250,D66-1,4,1.28,20.607,
3251,D66-2,1,2.469,40.43,
3251,D66-2,2,1.04,20.31,
3251,D66-2,3,1.061,22.956,
3251,D66-2,4,2.321,38.63,
3251,D66-2,5,1.557,22.637,
3252,D66-3,1,1.005,33.199,
3252,D66-3,2,1.799,35.015,
3252,D66-3,3,0.581,18.964,
3252,D66-3,4,1.34,34.366,
3252,D66-3,5,2.302,29.238,
3253,D66-4,1,5.389,29.707,
3253,D66-4,2,0.768,11.06,
3253,D66-4,3,4.645,29.768,
3254,D66-5,1,2.618,15.287,
3254,D66-5,2,6.658,30.858,
3254,D66-5,3,4.497,26.367,
3255,D66-6,1,0.439,20.923,
3255,D66-6,2,2.371,38.612,
3255,D66-6,3,0.566,16.611,
3256,D66-7,1,7.854,37.016,
3256,D66-7,2,6.974,32.142,
3256,D66-7,3,6.07,28.793,
3257,D66-8,1,1.347,32.889,
3257,D66-8,2,1.531,30.886,
3257,D66-8,3,2.747,43.181,
3257,D66-8,4,1.963,33.912,
3258,D66-9,1,9.19,36.026,
3258,D66-9,2,2.322,13.627,
3258,D66-9,3,2.984,19.514,
3263,D67-5,1,1.336,7.218,
3263,D67-5,2,2.276,13.823,
3263,D67-5,3,0.695,6.993,
3263,D67-5,4,1.399,9.733,
3270,D67-12,1,5.531,27.035,
3270,D67-12,2,4.148,24.154,
3270,D67-12,3,2.722,22.262,
3274,D68-4,1,0.908,8.165,
3274,D68-4,2,2.546,16.402,
3274,D68-4,3,5.537,31.487,
3275,D68-5,1,7.659,43.451,
3275,D68-5,2,6.868,38.96,
3284,D69-2,1,7.715,38.157,
3284,D69-2,2,6.198,27.339,
3285,D69-3,1,6.739,28.883,
3286,D69-4,1,7.786,37.419,
3286,D69-4,2,7.322,33.727,
3287,D69-5,1,0.884,34.414,
3287,D69-5,2,0.242,13.219,
3287,D69-5,3,1.108,28.871,
3289,D69-7,1,1.488,23.491,
3289,D69-7,2,3.352,42.384,
3289,D69-7,3,2.343,36.849,
3288,D69-6,1,1.026,22.612,
3288,D69-6,2,1.998,27.072,
3288,D69-6,3,3.719,43.792,
3291,D69-9,1,5.633,37.063,
3291,D69-9,2,4.192,21.107,
3293,D69-11,1,0.777,27.854,
3293,D69-11,2,1.036,31.837,
3293,D69-11,3,1.234,43.788,
3343,D76-4,1,2.442,42.483,
3343,D76-4,2,2.135,27.752,
3343,D76-4,3,2.346,29.395,
3350,D77-5,1,1.766,20.857,
3350,D77-5,2,1.806,35.512,
3350,D77-5,3,0.86,20.727,
3350,D77-5,4,0.642,12.742,
3350,D77-5,5,2.044,37.102,
3391,D82-7,1,0.958,25.64,
3391,D82-7,2,0.495,15.352,
3391,D82-7,3,0.398,14.719,
3391,D82-7,4,0.103,8.095,
3400,D83-4,1,3.174,46.421,
3400,D83-4,2,1.907,34.009,
3400,D83-4,3,4.051,38.471,
3400,D83-4,4,1.793,37.418,
3410,D84-2,1,1.13,24.18,
3410,D84-2,2,2.482,42.64,
3410,D84-2,3,1.163,31.937,
3410,D84-2,4,2.105,28.025,
3410,D84-2,5,0.235,5.776,
3410,D84-2,6,0.644,13.761,
3422,D85-2,1,4.069,22.848,
3422,D85-2,2,5.006,31.642,
3425,D85-5,1,0.644,23.68,
3425,D85-5,2,0.848,24.697,
3425,D85-5,3,0.275,16.064,
3425,D85-5,3,0.19,8.239,
3427,D86-1,1,0.134,4.621,
3427,D86-1,1,0.73,11.675,
3427,D86-1,2,4.514,44.246,
3427,D86-1,3,1.932,26.565,
3427,D86-1,3,1.581,22.686,
3429,D86-3,1,10.882,43.686,
3429,D86-3,2,4.052,27.033,
3429,D86-3,3,3.976,20.128,
3434,D87-2,1,3.435,31.695,
3434,D87-2,2,1.16,24.083,
3434,D87-2,3,1.509,18.43,
3434,D87-2,4,2.145,23.408,
3434,D87-2,5,2.814,30.255,
3438,D87-6,1,6.89,23.515,
3438,D87-6,2,8.137,30.893,
3438,D87-6,3,6.694,31.691,
3438,D87-6,4,9.588,36.72,
3537,D97-9,1,3.238,18.939,
3537,D97-9,2,4.481,23.614,
3539,D97-11,1,2.261,28.208,
3539,D97-11,2,2.358,41.531,
3539,D97-11,3,2.231,34.449,
3543,D98-3,1,2.259,42.134,
3543,D98-3,2,3.224,45.257,
3548,D98-8,1,1.623,12.787,
3548,D98-8,2,1.537,11.474,
3548,D98-8,3,3.457,25.473,
3354,D78-3,1,4.384,41.212,
3354,D78-3,2,4.417,50.217,
3354,D78-3,3,3.597,46.786,
