sample_id,seedling_id,total_area,total_leaf_weight_g,leaf_weight_notes,total_SLA
A10-8,62,3.96,0.0109,NA,363.30275229357795
A11-3,69,8.233,0.0238,NA,345.92436974789916
A12-5,83,9.535,0.0318,NA,299.84276729559747
A16-4,103,8.128,0.0216,NA,376.2962962962963
A17-3,108,25.25,0.0655,NA,385.4961832061069
A18-1,112,8.049,0.0187,NA,430.42780748663097
A22-11,155,3.138,0.0068,NA,461.47058823529414
A23-9,165,6.399,0.0114,NA,561.3157894736842
A24-12,180,8.472,0.0205,NA,413.2682926829268
A25-1,181,4.211,0.009,NA,467.88888888888897
A25-4,184,5.5,0.013,NA,423.0769230769231
A26-2,188,26.529,0.0713,NA,372.07573632538566
A26-6,192,9.576,0.0273,NA,350.7692307692308
A27-1,193,10.119,0.0354,NA,285.8474576271186
A27-2,194,10.472,0.0314,NA,333.5031847133758
A37-1,289,2.8259999999999996,0.0064,NA,441.56249999999994
A37-6,294,2.677,0.006,NA,446.1666666666667
A38-10,310,10.041,0.0246,NA,408.1707317073171
A38-9,309,5.049,0.0163,NA,309.75460122699394
A39-1,313,13.876,0.0328,NA,423.04878048780483
A39-7,319,7.845,0.0213,NA,368.3098591549296
A4-6,15,9.629999999999999,0.0279,NA,345.1612903225806
A46-5,374,4.508,0.0095,NA,474.5263157894737
A47-5,380,5.232,0.0114,NA,458.94736842105266
A48-4,385,4.876,0.0135,NA,361.1851851851852
A5-1,16,11.858,0.0369,NA,321.3550135501355
A52-11,425,2.469,0.0053,NA,465.84905660377353
A53-11,437,1.674,0.0036,NA,465
A54-9,447,7.763,0.0194,NA,400.1546391752577
A55-2,452,1.788,0.0036,NA,496.6666666666667
A55-4,454,4.449999999999999,NA,NA,NA
A56-3,459,9.338999999999999,0.0279,NA,334.7311827956989
A56-5,461,7.479,0.0201,NA,372.089552238806
A57-5,467,8.964,0.0297,NA,301.8181818181818
A6-3,24,13.766,NA,NA,NA
A67-10,568,4.6579999999999995,0.0105,NA,443.61904761904754
A67-7,565,1.584,0.0027,NA,586.6666666666666
A68-12,582,2.15,0.0045,NA,477.77777777777777
A68-4,574,7.5600000000000005,0.0213,NA,354.9295774647888
A69-1,583,3.3280000000000003,0.0075,NA,443.7333333333334
A69-9,591,9.795,0.0307,NA,319.05537459283386
A76-1,640,1.851,0.0102,NA,181.47058823529412
A77-2,647,7.74,0.0422,NA,183.41232227488152
A78-6,657,11.349,0.0663,NA,171.1764705882353
A82-10,694,1.809,0.0102,NA,177.35294117647058
A83-5,701,7.513,0.0392,NA,191.65816326530611
A84-8,716,8.084,0.0371,NA,217.89757412398922
A85-1,721,7.911,0.0199,NA,397.537688442211
A85-6,726,4.423,0.0205,NA,215.7560975609756
A86-3,729,6.486,0.035,NA,185.3142857142857
A86-5,731,13.658000000000001,0.0428,NA,319.1121495327103
A87-4,736,20.52,0.0585,NA,350.7692307692307
A87-6,738,6.9030000000000005,0.0328,NA,210.45731707317074
A97-4,832,1.5070000000000001,0.008,NA,188.375
A97-7,835,4.0440000000000005,0.0111,NA,364.3243243243244
A98-11,851,17.778,0.0515,NA,345.20388349514565
A98-12,852,6.3839999999999995,0.0295,NA,216.40677966101694
A99-12,864,12.971,0.0403,NA,321.86104218362283
A99-3,855,5.016,0.0259,NA,193.66795366795367
B10-3,957,8.67,0.0129,NA,672.0930232558139
B11-8,974,14.852,0.0438,NA,339.0867579908676
B12-10,988,9.952,0.0331,NA,300.66465256797585
B16-4,1003,5.242999999999999,0.0192,NA,273.0729166666667
B17-5,1010,6.405,0.0141,NA,454.2553191489362
B18-2,1013,14.434000000000001,NA,NA,NA
B22-9,1053,1.615,0.0033,NA,489.3939393939394
B23-10,1066,7.461,0.014,NA,532.9285714285714
B24-3,1071,16.167,0.0352,NA,459.28977272727275
B25-2,1082,8.784,NA,NA,NA
B25-5,1085,7.801,0.0166,NA,469.9397590361446
B26-2,1088,11.187000000000001,0.0266,NA,420.5639097744362
B26-3,1089,14.427,0.0374,NA,385.7486631016042
B27-2,1094,12.149000000000001,0.0376,NA,323.1117021276596
B27-4,1096,13.872,0.0513,NA,270.4093567251462
B37-12,1200,5.464,0.012,NA,455.33333333333337
B37-4,1192,5.95,0.0114,NA,521.9298245614035
B38-6,1206,7.601,0.0197,NA,385.83756345177665
B39-12,1224,5.1690000000000005,0.0159,NA,325.09433962264154
B39-5,1217,8.164,0.0244,NA,334.5901639344262
B4-2,911,5.598,0.0184,NA,304.2391304347826
B47-2,1277,8.386,0.0132,NA,635.3030303030303
B48-1,1282,11.065999999999999,0.0276,NA,400.9420289855072
B5-2,917,9.163,0.0326,NA,281.07361963190186
B52-4,1318,3.519,0.0084,NA,418.92857142857144
B53-7,1333,4.42,0.0125,NA,353.59999999999997
B54-5,1343,4.801,0.0163,NA,294.5398773006135
B55-1,1351,1.55,0.0043,NA,360.4651162790698
B55-4,1354,4.659,0.0131,NA,355.64885496183206
B56-6,1362,3.085,0.0077,NA,400.64935064935065
B57-5,1367,18.999000000000002,0.0581,NA,327.0051635111877
B57-6,1368,3.0820000000000003,0.009,NA,342.4444444444445
B6-2,923,13.087,0.0486,NA,269.2798353909465
B67-10,1468,2.392,0.0043,NA,556.2790697674418
B67-6,1464,2.809,0.0057,NA,492.8070175438597
B68-11,1481,3.339,0.0062,NA,538.5483870967743
B68-8,1478,7.156,0.019,NA,376.63157894736844
B69-3,1485,7.189,0.0238,NA,302.05882352941177
B69-9,1491,8.686,0.0246,NA,353.0894308943089
B76-3,1542,4.875,0.0273,NA,178.57142857142856
B77-2,1547,6.793,0.035,NA,194.08571428571426
B78-4,1555,9.267,0.0585,NA,158.41025641025638
B82-2,1586,2.7329999999999997,0.0102,NA,267.9411764705882
B83-7,1603,5.157,0.0291,NA,177.2164948453608
B84-1,1609,10.325,0.047,NA,219.68085106382978
B85-3,1623,2.921,0.0229,NA,127.55458515283841
B85-6,1626,5.307,0.0165,NA,321.6363636363636
B86-3,1629,7.680999999999999,0.0475,NA,161.7052631578947
B86-6,1632,13.39,0.0398,NA,336.4321608040201
B87-1,1633,20.058999999999997,0.0668,NA,300.28443113772454
B87-2,1634,6.963,0.05,NA,139.26
B97-10,1738,5.852,0.0144,NA,406.3888888888889
B97-5,1733,1.334,0.005,NA,266.8
B98-10,1750,4.19,0.0231,NA,181.38528138528142
B98-8,1748,14.171999999999999,0.0585,NA,242.25641025641022
B99-1,1753,5.719,0.0268,NA,213.3955223880597
B99-9,1761,17.381999999999998,0.045,NA,386.26666666666665
C10-11,1865,5.138,0.0108,NA,475.7407407407407
C11-1,1867,13.871,0.0344,NA,403.2267441860465
C12-4,1882,18.031,0.0511,NA,352.85714285714283
C16-5,1904,7.56,0.0138,NA,547.8260869565217
C17-3,1908,17.15,0.0426,NA,402.5821596244131
C18-1,1912,10.245000000000001,0.0285,NA,359.47368421052636
C23-9,1965,9.57,0.0176,NA,543.75
C24-2,1970,20.032,0.0357,NA,561.1204481792716
C25-1,1981,6.388,0.0152,NA,420.2631578947368
C25-5,1985,6.1240000000000006,0.0168,NA,364.5238095238096
C26-5,1991,12.257,0.0363,NA,337.6584022038567
C26-6,1992,21.348,0.0511,NA,417.76908023483367
C27-4,1996,40.324,0.1004,NA,401.63346613545815
C27-5,1997,11.572,0.0349,NA,331.57593123209165
C37-4,2092,4.356999999999999,0.0066,NA,660.151515151515
C37-7,2095,3.77,0.007,NA,538.5714285714286
C38-6,2106,7.968,0.0224,NA,355.7142857142857
C38-8,2108,9.031,0.0241,NA,374.73029045643153
C39-9,2121,19.017,0.0513,NA,370.70175438596493
C4-4,1813,8.772,0.0269,NA,326.09665427509293
C46-4,2173,3.833,0.0088,NA,435.5681818181818
C47-2,2177,11.097,0.0239,NA,464.3096234309623
C48-4,2185,15.275,0.042,NA,363.6904761904762
C5-4,1819,16.751,0.0536,NA,312.5186567164179
C52-8,2222,3.249,0.0054,NA,601.6666666666666
C53-8,2234,7.279,0.0136,NA,535.2205882352941
C54-4,2242,2.5490000000000004,0.0072,NA,354.02777777777783
C55-3,2253,6.936,0.02,NA,346.8
C55-5,2255,4.932,0.0108,NA,456.6666666666667
C56-3,2259,13.751999999999999,0.0413,NA,332.97820823244547
C56-4,2260,9.315999999999999,0.021,NA,443.61904761904754
C6-1,1822,7.519,0.0358,NA,210.02793296089388
C67-1,2359,3.6370000000000005,0.0081,NA,449.0123456790124
C67-3,2361,3.907,0.0072,NA,542.6388888888889
C68-3,2373,6.747,0.0204,NA,330.735294117647
C68-7,2377,3.673,0.0106,NA,346.50943396226415
C69-4,2386,9.198,0.0281,NA,327.33096085409255
C76-3,2442,4.269,0.0251,"Marked as 2440, ECUR",170.0796812749004
C77-6,2451,8.654,0.0332,NA,260.66265060240966
C78-1,2452,14.147,0.0807,NA,175.30359355638168
C82-5,2489,3.5220000000000002,0.0165,NA,213.45454545454547
C83-9,2505,7.433999999999999,0.0372,NA,199.83870967741936
C84-11,2519,6.856999999999999,NA,NA,NA
C85-2,2522,12.422,0.0308,NA,403.31168831168833
C85-6,2526,6.285,0.0221,NA,284.3891402714932
C86-1,2527,19.652,0.055,NA,357.3090909090909
C86-2,2528,5.808,0.0233,NA,249.2703862660944
C87-2,2534,11.433,0.0598,NA,191.18729096989966
C87-5,2537,12.552,0.0428,NA,293.2710280373832
C97-4,2632,8.575,0.0195,NA,439.7435897435897
C97-7,2635,4.466,0.0298,NA,149.86577181208054
C98-10,2650,2.666,0.0131,NA,203.51145038167937
C98-8,2648,15.594999999999999,0.0424,NA,367.80660377358487
C99-12,2664,7.593,0.0332,NA,228.70481927710844
C99-6,2658,18.51,0.0562,NA,329.3594306049822
D10-5,2759,4.829000000000001,0.0072,NA,670.6944444444446
D11-12,2778,18.921,0.0528,NA,358.3522727272727
D12-1,2779,12.341,0.0306,NA,403.30065359477123
D16-1,2800,8.168,0.013,NA,628.3076923076923
D17-4,2809,12.692,0.024,NA,528.8333333333334
D18-3,2814,39.137,0.0948,NA,412.8375527426161
D22-1,2845,8.349,0.0155,NA,538.6451612903226
D22-10,2854,9.059000000000001,0.0161,NA,562.6708074534163
D22-11,2855,5.913,0.0168,NA,351.9642857142858
D22-12,2856,10.146,0.0228,NA,445
D22-2,2846,4.535,0.0068,NA,666.9117647058824
D22-3,2847,11.071,0.0155,NA,714.258064516129
D22-4,2848,2.364,0.0039,NA,606.1538461538462
D22-6,2850,1.209,0.0026,NA,465.00000000000006
D22-7,2851,2.199,0.0042,NA,523.5714285714286
D22-8,2852,7.009,0.0135,NA,519.1851851851852
D22-9,2853,3.7920000000000003,0.0079,NA,480
D23-4,2860,16.466,0.0358,NA,459.94413407821236
D24-1,2869,15.020000000000001,0.033,NA,455.1515151515152
D24-10,2878,6.103,0.0113,NA,540.0884955752213
D24-11,2879,14.778,0.0387,NA,381.8604651162791
D24-2,2870,5.756,0.0142,NA,405.3521126760563
D24-3,2871,7.468999999999999,0.0169,NA,441.9526627218935
D24-4,2872,18.225,0.0339,Unclear label on envelope,537.6106194690266
D24-5,2873,17.094,0.0319,NA,535.8620689655173
D24-6,2874,4.898,0.0138,NA,354.92753623188406
D24-7,2875,6.265,0.0156,NA,401.6025641025641
D24-8,2876,6.612,0.0147,NA,449.795918367347
D24-9,2877,3.825,0.0065,NA,588.4615384615386
D25-4,2884,12.782,0.0265,NA,482.33962264150944
D25-5,2885,6.452999999999999,0.0141,NA,457.65957446808505
D26-2,2888,12.148,0.0308,NA,394.4155844155844
D26-6,2892,21.098,0.0488,NA,432.33606557377044
D27-1,2893,18.916,0.0541,NA,349.64879852125694
D27-2,2894,25.484,0.0589,NA,432.66553480475386
D27-3,2895,6.515000000000001,0.0366,NA,178.00546448087434
D27-4,2896,9.793,0.0215,NA,455.48837209302326
D27-5,2897,6.952,0.0323,NA,215.23219814241483
D27-6,2898,35.808,0.0887,NA,403.6978579481398
D28-1,2899,6.239,0.0132,NA,472.6515151515151
D28-2,2900,6.059,0.0146,NA,415
D28-3,2901,6.884,NA,NA,NA
D28-4,2902,1.1680000000000001,0.0091,NA,128.35164835164835
D28-5,2903,2.971,0.0067,NA,443.43283582089555
D28-6,2904,13.225,0.0243,NA,544.238683127572
D28-7,2905,9.76,0.0242,NA,403.3057851239669
D28-8,2906,4.508,0.0169,NA,266.7455621301775
D28-9,2907,7.156,0.016,NA,447.25
D37-12,3000,6.109999999999999,0.0157,NA,389.171974522293
D37-7,2995,4.973,0.0088,NA,565.1136363636363
D38-10,3010,10.049,0.0222,NA,452.65765765765764
D38-2,3002,5.313,0.0143,NA,371.5384615384615
D39-1,3013,9.542,0.0279,NA,342.00716845878134
D39-10,3022,12.391,0.0291,NA,425.807560137457
D39-11,3023,4.994,0.0272,NA,183.60294117647058
D39-12,3024,39.306,0.0828,NA,474.7101449275362
D39-2,3014,12.030999999999999,0.0243,NA,495.1028806584362
D39-3,3015,1.653,0.0106,NA,155.9433962264151
D39-4,3016,0.915,0.0026,NA,351.92307692307696
D39-5,3017,15.218,0.0442,NA,344.29864253393663
D39-6,3018,25.597,0.0584,NA,438.30479452054794
D39-7,3019,29.267,0.0559,NA,523.5599284436494
D39-8,3020,24.674,0.0578,NA,426.88581314878894
D39-9,3021,7.952,0.015,NA,530.1333333333333
D4-1,2710,9.767,0.0252,NA,387.57936507936506
D4-2,2711,3.864,0.0098,NA,394.2857142857143
D4-3,2712,3.318,0.0108,NA,307.22222222222223
D4-4,2713,9.997,0.0264,NA,378.67424242424244
D4-5,2714,2.83,0.0129,NA,219.3798449612403
D4-6,2715,2.567,0.0146,NA,175.82191780821918
D46-2,3071,6.920999999999999,0.0157,NA,440.828025477707
D47-3,3078,9.690999999999999,0.0159,No corresponding leaf area,609.4968553459119
D48-1,3082,10.493,0.0237,NA,442.7426160337553
D5-1,2716,3.457,0.0206,NA,167.8155339805825
D5-2,2717,5.493,0.0182,NA,301.8131868131868
D5-3,2718,8.383,0.0541,NA,154.95378927911273
D5-4,2719,10.302,0.0272,NA,378.75
D5-5,2720,10.413,0.0315,NA,330.57142857142856
D5-6,2721,20.93,0.0595,NA,351.7647058823529
D52-4,3118,2.3600000000000003,0.0052,NA,453.8461538461539
D53-8,3134,8.029,0.0146,NA,549.931506849315
D55-2,3152,10.83,0.0238,NA,455.04201680672264
D55-4,3154,4.04,0.0094,NA,429.78723404255317
D56-1,3157,9.542,0.0232,NA,411.2931034482759
D56-3,3159,6.446,0.018,NA,358.11111111111114
D57-3,3165,19.833,0.055,NA,360.59999999999997
D57-6,3168,21.154,0.0519,NA,407.5915221579961
D6-5,2726,17.092,0.0695,NA,245.9280575539568
D66-1,3250,5.026,0.0346,NA,145.2601156069364
D66-2,3251,8.448,0.0409,NA,206.55256723716383
D66-3,3252,7.027,0.0335,NA,209.76119402985074
D66-4,3253,10.802,0.0316,NA,341.83544303797464
D66-5,3254,13.773,0.0331,NA,416.10271903323263
D66-6,3255,3.376,0.0296,NA,114.05405405405405
D66-7,3256,20.898,0.0516,NA,405
D66-8,3257,7.588,0.0322,NA,235.6521739130435
D66-9,3258,14.495999999999999,0.0369,NA,392.84552845528447
D67-12,3270,12.401,0.0164,NA,756.1585365853658
D67-5,3263,5.7059999999999995,0.0096,NA,594.375
D68-4,3274,8.991,0.0147,NA,611.6326530612245
D68-5,3275,14.527000000000001,0.0337,NA,431.0682492581603
D69-11,3293,3.047,0.0236,NA,129.11016949152543
D69-2,3284,13.913,0.021,NA,662.5238095238095
D69-3,3285,6.739,0.011,NA,612.6363636363636
D69-4,3286,15.108,0.0447,NA,337.9865771812081
D69-5,3287,2.234,0.0143,NA,156.2237762237762
D69-6,3288,6.743,0.022,NA,306.50000000000006
D69-7,3289,7.183,0.0189,NA,380.05291005291
D69-9,3291,9.825,0.0222,NA,442.5675675675675
D76-4,3343,6.923,0.0208,NA,332.83653846153845
D77-5,3350,7.118,0.0341,NA,208.73900293255133
D78-3,3354,12.398,0.0425,NA,291.7176470588235
D82-7,3391,1.954,0.0058,NA,336.89655172413796
D83-4,3400,10.925,0.0326,NA,335.12269938650314
D84-2,3410,7.759,0.0481,NA,161.30977130977132
D85-2,3422,9.075,0.0217,NA,418.20276497695846
D85-5,3425,1.957,0.0102,NA,191.8627450980392
D86-1,3427,8.891,0.0331,NA,268.6102719033233
D86-3,3429,18.91,0.06,NA,315.1666666666667
D87-2,3434,11.063,0.0278,NA,397.94964028776985
D87-6,3438,31.308999999999997,0.0942,NA,332.3673036093418
D97-11,3539,6.85,0.0214,NA,320.0934579439252
D97-9,3537,7.718999999999999,0.0173,NA,446.18497109826586
D98-3,3543,5.4830000000000005,0.0229,NA,239.43231441048036
D98-8,3548,6.617,0.0146,NA,453.2191780821918
